item,year,gsdp,state
Trade & repair services,2013-14,4873547,Andhra_Pradesh
Trade & repair services,2014-15,7081391,Andhra_Pradesh
Trade & repair services,2015-16,8383018,Andhra_Pradesh
Hotels & restaurants,2011-12,279581,Andhra_Pradesh
Hotels & restaurants,2012-13,308307,Andhra_Pradesh
Hotels & restaurants,2013-14,331555,Andhra_Pradesh
Hotels & restaurants,2014-15,366982,Andhra_Pradesh
Hotels & restaurants,2015-16,406173,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2011-12,1754480,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2012-13,2161629,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2013-14,2684993,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2014-15,3147173,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2015-16,3658194,Andhra_Pradesh
Railways,2011-12,275142,Andhra_Pradesh
Railways,2012-13,334829,Andhra_Pradesh
Railways,2013-14,395681,Andhra_Pradesh
Railways,2014-15,462413,Andhra_Pradesh
Railways,2015-16,540400,Andhra_Pradesh
Road transport,2011-12,840472,Andhra_Pradesh
Road transport,2012-13,1069740,Andhra_Pradesh
Road transport,2013-14,1347912,Andhra_Pradesh
Road transport,2014-15,1572288,Andhra_Pradesh
Road transport,2015-16,1833696,Andhra_Pradesh
Water transport,2011-12,4895,Andhra_Pradesh
Water transport,2012-13,2559,Andhra_Pradesh
Water transport,2013-14,1728,Andhra_Pradesh
Water transport,2014-15,2228,Andhra_Pradesh
Water transport,2015-16,2228,Andhra_Pradesh
Air transport,2011-12,3079,Andhra_Pradesh
Air transport,2012-13,5848,Andhra_Pradesh
Air transport,2013-14,4557,Andhra_Pradesh
Air transport,2014-15,13599,Andhra_Pradesh
Air transport,2015-16,13599,Andhra_Pradesh
Services incidental to transport,2011-12,89270,Andhra_Pradesh
Services incidental to transport,2012-13,112022,Andhra_Pradesh
Services incidental to transport,2013-14,142482,Andhra_Pradesh
Services incidental to transport,2014-15,166600,Andhra_Pradesh
Services incidental to transport,2015-16,194712,Andhra_Pradesh
Storage,2011-12,7400,Andhra_Pradesh
Storage,2012-13,8434,Andhra_Pradesh
Storage,2013-14,8457,Andhra_Pradesh
Storage,2014-15,10618,Andhra_Pradesh
Storage,2015-16,10618,Andhra_Pradesh
Communication & services related to broadcasting,2011-12,534222,Andhra_Pradesh
Communication & services related to broadcasting,2012-13,628197,Andhra_Pradesh
Communication & services related to broadcasting,2013-14,784175,Andhra_Pradesh
Communication & services related to broadcasting,2014-15,919427,Andhra_Pradesh
Communication & services related to broadcasting,2015-16,1062941,Andhra_Pradesh
Financial services,2011-12,883932,Andhra_Pradesh
Financial services,2012-13,977417,Andhra_Pradesh
Financial services,2013-14,1122273,Andhra_Pradesh
Financial services,2014-15,1178022,Andhra_Pradesh
Financial services,2015-16,1236540,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,2802336,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,3121656,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,3460385,Andhra_Pradesh
